FICHA TÉCNICA Y DESCRIPCIÓN DE LA GENÉTICA: AN,
Nombre Botánico,Cannabis sativa L
Nombre común,Cáñamo
Nombre de la Variedad,Antioquia Nica (AN)
Nombre Regional,Antioquia
Origen,Urabá
Lugar de Recolección,"Vereda la Palmera municipio de
Necoclí"
Tipo de reproducción,Sexual (semilla)
Porcentaje de germinación (%),95 – 99
Peso de 1.000 semillas (gr),"19,4"
Días a floración Masculina y femenina,"Int: 40 – 45 días
Ext: 40 -50 días"
Proporción de plantas hermafroditas,5%
Proporción de plantas femeninas,90%
Proporción de plantas masculinas,5%
Número de foliolos,7
Altura de la planta (cm),"Int: 160– 200
Ext: 160 – 200"
Altura del tallo (cm),"Int: 150– 180
Ext: 150 - 200"
Contenido (%) de THC,"0,3"
Contenido (%) de CBD,15 – 19
"Tiempo estimado cosecha de tallos (después de germinación de la
semilla)","int: 50 – 55 días
ext: 60 – 70 días"
"Tiempo estimado cosecha flor (después de germinación de la
semilla)","int: 75– 95 días
ext: 80 – 100 días"
Rendimiento tallos (gr/M2),2583
Rendimiento flor (gr/M2),"Int: 600 - 750
Ext: 450 - 600"
Rendimiento de Biomasa (gr/M2),3690
Porcentaje de fibra en tallo,29
Porcentaje de Cañamiza,71
Descripción Fenotípica,"Genética fácil de cultivar y
requiere poco cuidado durante el
desarrollo, estructura uniforme,
planta con tallos gruesos, hojas
grandes, entrenudos cortos.
Resiste temperaturas bajas (frio)."
"Propensión de Plagas, Enfermedades u Hongos que pueden afectar
el cultivo","Resistente a hongos e insectos
plaga"
Otros detalles,"Requiere pocos nutrientes NPK
durante el desarrollo"
