FICHA TÉCNICA Y DESCRIPCIÓN DE LA GENÉTICA: GA,
Nombre Botánico,Cannabis sativa L
Nombre común,Cáñamo
Nombre de la Variedad,Galena (GA)
Nombre Regional,Antioquia
Origen,Valle del Cauca
Lugar de Recolección,Municipio Trujillo
Tipo de reproducción,Sexual (semilla)
Porcentaje de germinación (%),97 – 99
Peso de 1.000 semillas (gr),"19,4"
Días a floración Masculina y femenina,"Int: 46 – 50 días
Ext: 50 -60 días"
Proporción de plantas hermafroditas,0%
Proporción de plantas femeninas,85%
Proporción de plantas masculinas,15%
Número de foliolos,7
Altura de la planta (cm),"Int: 310 – 400
Ext: 310 – 420"
Altura del tallo (cm),"Int: 300 – 380
Ext: 300 – 400"
Contenido (%) de THC,"0,26"
Contenido (%) de CBD,10 – 15
"Tiempo estimado cosecha de tallos (después de germinación de la
semilla)","int: 40 – 45 días
ext: 54 – 60 días"
"Tiempo estimado cosecha flor (después de germinación de la
semilla)","int: 96– 100 días
ext: 100 – 115 días"
Rendimiento tallos (gr/M2),2772
Rendimiento flor (gr/M2),"Int: 600 - 750
Ext: 500 - 700"
Rendimiento de Biomasa (gr/M2),3960
Porcentaje de fibra en tallo,27
Porcentaje de Cañamiza,73
Descripción Fenotípica,"Cultivar de flores densas, colores
verdes a amarillo. Entrenudos
cortos"
"Propensión de Plagas, Enfermedades u Hongos que pueden afectar
el cultivo","Resistente a plagas y
enfermedades."
Otros detalles,"Requiere dosis media de
Nitrógeno en su etapa de
desarrollo y nivel medio de
Potasio en etapa de crecimiento"
